sourcedId,classSourcedId,schoolSourcedId,userSourcedId,role,status,dateLastModified,primary
6F4283DC-F831-4437-A9A3-E030C7AF0493,25590100101Trad120ENG112011,255901001,604863,student,,,
8622A96A-9287-4BAA-BD1F-3DB11A74524E,25590100102Trad220ALG112011,255901001,604863,student,,,
D43AAE29-B248-4CF1-AE68-9F326DBCC7E8,25590100102Trad220ALG112011,255901001,604874,student,,,
B3599829-090C-4BC5-AA59-15E90427A7BA,25590100101Trad120ENG112011,255901001,604874,student,,,
B33133EB-251C-4950-A13F-432BA4E4EABF,25590100102Trad220ALG112011,255901001,604918,student,,,
C3B53C27-0214-4A38-917B-F80454834F5A,25590100102Trad220ALG112011,255901001,604927,student,,,
9913CD36-9789-45C7-A59B-3C513A15429F,25590100102Trad220ALG112011,255901001,604938,student,,,
40940E37-074D-446B-9B74-0D79948978C5,25590100101Trad120ENG112011,255901001,604969,student,,,
A2565DC9-36B4-4AE5-AEAE-1CB6FD9A5D70,25590100101Trad120ENG112011,255901001,604974,student,,,
892C018C-0D54-4433-B5B2-5E4D1322B58D,25590100101Trad120ENG112011,255901001,605015,student,,,
12379415-A8B2-435C-BD6A-C39C6DA0B454,25590100101Trad120ENG112011,255901001,604863,student,,,
7DFD7AE2-7C8D-4310-8135-7ED1EA9D2E59,25590100102Trad220ALG112011,255901001,604863,student,,,
A72FDA84-CBA9-40EA-B4A6-3A90177A618D,25590100102Trad220ALG112011,255901001,604874,student,,,
BC2ABC3B-BE0A-41C1-AE69-BAFEFA985320,25590100101Trad120ENG112011,255901001,604874,student,,,
C9294C83-3A30-48EC-9ABE-A8D6719ED7CB,25590100102Trad220ALG112011,255901001,604918,student,,,
94B4C774-32DD-4AEA-8A6E-A7042C6A7F83,25590100102Trad220ALG112011,255901001,604927,student,,,
8FFB6DB9-0632-429C-9ED1-E2DD73770161,25590100102Trad220ALG112011,255901001,604938,student,,,
48BADCDA-E613-4076-9485-01DDAD265A68,25590100101Trad120ENG112011,255901001,604969,student,,,
7C454693-DA5F-4EFE-BE89-020776E96831,25590100101Trad120ENG112011,255901001,604974,student,,,
808E0D17-2E02-436B-A73C-02DCC5B1E623,25590100101Trad120ENG112011,255901001,605015,student,,,
7381FA73-FC6A-42C8-8951-32346DEB84E1,25590100102Trad220ALG112011,255901001,207270,teacher,,,TRUE
0F465D5B-AFAB-43EB-8BE6-FFF394581900,25590100101Trad120ENG112011,255901001,207268,teacher,,,TRUE
36549958-818D-4E44-A569-00FD8A27F4BF,25590100102Trad220ALG112011,255901001,207270,teacher,,,TRUE
54AFE73B-66E5-451E-B681-013D9865EA27,25590100101Trad120ENG112011,255901001,207268,teacher,,,TRUE
